file,decade,year,regex你好,regex上午下午晚上中午早上好,regex你好吗,regex吃了吗,regex嗨
Fall in Love at First Kiss 2019 720p BluRay x264 -WiKi.chs.srt,2010,2019,1,0,0,0,0
Lost.on.journey.2010.DVDrip.Xvid.Chs.srt,2010,2010,0,11,0,0,0
Bread.Bus.and.the.Second.First.Love.2018.720p.BluRay.x264.DTS-WiKi.chs.ass,2010,2018,4,0,4,0,0
【中文】路边野餐 Kaili.Blues.2015.1080p.BluRay.DTS.x264-HDS.srt,2010,2015,0,0,0,0,0
The.Legend.of.Zu.2018.720p.BluRay.x264-WiKi.chs.srt,2010,2018,0,0,0,0,0
捉妖记 Monster.Hunt.2015.CHINESE.1080p.BluRay.x265-VXT.ass,2010,2015,0,0,0,0,0
Operation.Red.Sea.2018.BluRay.cheng.srt,2010,2018,2,0,0,0,0
廉政风云.Integrity.2019.Blu-ray.1080p.AVC.TrueHD.Atmos.7.1-TTG.srt,2010,2019,4,0,0,0,0
Detective.Dee.and.the.Mystery.of.the.Phantom.Flame.2010.DVDRIP.XviD.AC3-ZJM.Big5.srt,2010,2010,0,0,0,0,0
"我和我的祖国My People, My Country 2019 WEB-DL WEB-DL 1080p H.264 Dolby Digital Plus with Dolby Atmos-Dave.CHS.srt",2010,2019,1,5,0,0,0
[扫毒2·天地对决].The.White.Storm.2.Drug.Lords.2019.2160p.UHD.BluRay.x265.10bit.HDR.TrueHD.7.1.Atmos-DDR.srt,2010,2019,3,3,0,0,0
熊出没之夺宝熊兵 (简体字幕)Boonie.Bears.Robo.Rumble.2014.BluRay.720p.x264.AC3.3Audios-CMCT.chs.ass,2010,2014,0,4,0,1,0
大话西游III A.Chinese.Odyssey.Part.III.2016.1080p.BluRay.x264-WiKi.srt,2010,2016,0,0,0,0,0
Silent.Witness.2013.CHINESE.1080p.BluRay.x264.DD5.1-LHD.srt,2010,2013,2,0,1,0,0
The.Island.2018.720p.BluRay.x264-WiKi.chs.srt,2010,2018,0,0,0,0,0
追凶者也.Cock.and.Bull.2016.ass,2010,2016,0,0,0,0,0
Lost.in.Thailand.2012.CHINESE.PROPER.1080p.BluRay.H264.AAC-VXT.srt,2010,2012,6,2,0,0,0
白蛇：缘起.White.Snake.2019.BluRay.1080p.FFans@HDMove.ass,2010,2019,0,0,0,0,0
Chasing.the.Dragon.II.Wild.Wild.Bunch.2019.CHINESE.1080p.BluRay.REMUX.AVC.DTS-HD.MA.TrueHD.5.1-FGT.ass,2010,2019,1,1,0,0,0
西游降魔篇.Journey.To.The.West.Conquering.The.Demons.2013.Dual.Audio.BDRip.X264-BETRAYER.chs.srt,2010,2013,0,0,0,0,0
The.Legend.of.Hei.2021.1080p.Bluray.DTS-HD.MA.5.1.X264-EVO.srt,2010,2021,1,0,0,0,0
BBC.Ultimate.Swarms群居动物的疯狂世界.2013.1080p.H265.srt,2010,2013,0,0,0,0,0
刘德华.黄晓明-偷天特务.Mission.Milano.2016.CHINESE.720p.BluRay.x264.DD5.1-MT.mkv_1484581023 .ass,2010,2016,9,0,3,0,0
天·火.Skyfire.2019.CHINESE.1080p.WEB-DL.DD5.1.H.264-FGT,2010,2019,0,3,1,0,0
你好，之华Last Letter 2018 1080p JPN Blu-ray AVC LPCM 2.0-ANKO.CHS.srt,2010,2018,12,1,0,1,0
The.Monkey.King.3.2018.720p.BluRay.x264-WiKi.chs.srt,2010,2018,0,0,0,0,0
Monster.Hunt.2.2018.720p.BluRay.x264-WiKi.chs.srt,2010,2018,0,0,0,1,0
Book.of.Love.2016.720p.BluRay.x264-WiKi.chs.srt,2010,2016,1,4,0,0,1
S.Storm.2016.720p.BluRay.x264-WiKi.chs.srt,2010,2016,5,0,2,0,0
(蓝光版国语配音字幕) 新喜剧之王 The.New.King.of.Comedy.2019.1080p.BluRay.x264-WiKi.Chs.srt,2010,2019,6,1,0,0,0
乘风破浪.Duckweed.2017.1080p.BluRay.x264-WiKi.chs.ass,2010,2017,0,0,0,0,0
If.You.Are.The.One.II.2010.HR-HDTV.AC3.1024X576.x264.Chs.ass,2010,2010,4,0,0,0,0
[妖猫传].Legend.of.the.Demon.Cat.2017.2160p.UHD.BluRay.x265.10bit.HDR.TrueHD.7.1.Atmos-DDR.srt,2010,2017,0,0,0,0,0
